Forma ;Lemma;Analisi ;olivetti_url;;;
ελῶ;αἱρέω;futuro attivo              ;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
εἷλον;αἱρέω;aoristo attivo;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
ᾓρηκα;αἱρέω;perfetto attivo;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
ᾓρημαι;αἱρέω;perfetto medio-passivo;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
ᾑρέθην;αἱρέω;aoristo passivo;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
αἱρεθήσομαι;αἱρέω;futuro passivo;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
ἐλεύσομαι;ἔρχομαι;futuro medio deponente             ;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%94%CF%81%CF%87%CE%BF%CE%BC%CE%B1%CE%B9;;;
ἦλθον;ἔρχομαι;aoristo attivo;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%94%CF%81%CF%87%CE%BF%CE%BC%CE%B1%CE%B9;;;
ἐλήλυθα;ἔρχομαι;perfetto attivo;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%94%CF%81%CF%87%CE%BF%CE%BC%CE%B1%CE%B9;;;
ἔδομαι;ἐσθίω;futuro medio deponente             ;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἔφαγον;ἐσθίω;aoristo attivo;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἐδήδοκα;ἐσθίω;perfetto attivo;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἐδήδεμαι;ἐσθίω;perfetto medio-passivo;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἠδέσθην;ἐσθίω;aoristo passivo;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἐδεσθήσομαι;ἐσθίω;futuro passivo;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἐρῶ;λέγω;futuro attivo              ;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
εἶπον;λέγω;aoristo attivo;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
εἶπα;λέγω;aoristo attivo;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
εἴρηκα;λέγω;perfetto attivo;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
εἴρημαι;λέγω;perfetto medio-passivo;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
ἐρρήθην;λέγω;aoristo passivo;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
ῤηθήσομαι;λέγω;futuro passivo;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
ὂψομαι;ὁράω;futuro medio deponente             ;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
εἶδον;ὁράω;aoristo attivo;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἑώρακα;ὁράω;perfetto attivo;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἑώραμαι;ὁράω;perfetto medio-passivo;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὄπωπα;ὁράω;perfetto attivo;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ᾦμμαι;ὁράω;perfetto medio-passivo;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὢφθην;ὁράω;aoristo passivo;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
